Language	Concept	Portuguese	Form	Semantic	Concepticon	Cognate	Notes
Xipaya	SOUR / ACID /BITTER	AZEDO / AMARGO		SENSE PERCEPTION	1906		
Xipaya	SPEAK	FALAR	kamenu	SPEECH AND LANGUAGE	1623	7	
Xipaya	SPIDER	ARANHA	puturu	ANIMALS	843	6	
Xipaya	SPIDER MONKEY /	MACACO PRETO / MACACO ARANHA / COATÁ	wara	ANIMALS	434		
Xipaya	SPROUT	BROTAR		BASIC ACTIONS AND TECHNOLOGY	2076		
Xipaya	SQUIRREL	ESQUILO		ANIMALS	1628		
Xipaya	STAND	ESTAR DE/EM PÉ / LEVANTAR	maseu	BODY	1442		
Xipaya	STAR	ESTRELA	nunibɨa	PHYSICAL WORLD	1430		
Xipaya	STINGRAY	ARRAIA	jahu	ANIMALS	1910		
Xipaya	STOMACH	ESTÔMAGO	wáza	BODY	819		
Xipaya	STONE	PEDRA	kuapa	PHYSICAL WORLD	857	5	
Xipaya	STRONG	FORTE	wáriu	BODY	785		also means 'hard'
Xipaya	SUCK	SUGAR / CHUPAR	tutu	FOOD AND DRINK	1421		
Xipaya	SUN	SOL	kuazadɨ	PHYSICAL WORLD	1343		
Xipaya	SURUBIM_FISH	PINTADO / BAGRE (?)	duruʃi	ANIMALS		1	
Xipaya	SWEEP	VARRER		BASIC ACTIONS AND TECHNOLOGY	230		
Xipaya	SWEET	DOCE	etáku	SENSE PERCEPTION	717		
Xipaya	SWEET POTATO	BATAT-DOCE	taũ	FOOD AND DRINK	159	5	
Xipaya	SWIM	NADAR	tahu	MOTION	1439		
Xipaya	TAIL	RABO / CAUDA	watapa	BODY	1220		
Xipaya	TAPIR	ANTA	masaka	ANIMALS	312	9	
Xipaya	TAYRA	IRARA		ANIMALS			
Xipaya	TEACH	ENSINAR	mawurí	COGNITION	709		
Xipaya	TELL / NARRATE	CONTAR		SPEECH AND LANGUAGE	1711		
Xipaya	TERMINATE / FINISH	ACABAR / TERMINAR	base	TIME	1766		
Xipaya	TERMITE	CUPIM	kupa	ANIMALS	883		
Xipaya	TESTICLES	TESTÍCULOS	idʒarikapa	BODY	797		
Xipaya	THAT	AQUELE / AQUILO	amɨ	MISCELLANEOUS FUNCTION WORDS	78		
Xipaya	THICK	GROSSO	urapú	SPATIAL RELATIONS	1244		
Xipaya	THING	COISA	kanemaj*	POSSESSION	738		
Xipaya	THIS	ESTE	anɨ	MISCELLANEOUS FUNCTION WORDS	1214		
Xipaya	THREE	TRÊS	mewa ũ	QUANTITY	492		
Xipaya	THORN	ESPINHO	makúru	AGRICULTURE AND VEGETATION	124		
Xipaya	THUNDER	TROVÃO	mantire	PHYSICAL WORLD	1150		
Xipaya	THROAT	GARGANTA	wĩwu	BODY	1346		
Xipaya	TICK	CARRAPATO	kupãremã	ANIMALS	1527		
Xipaya	TIE	ATAR / AMARRAR	pani	BASIC ACTIONS AND TECHNOLOGY	1917		
Xipaya	TIMBO LIANA	TIMBÓ	miwá	AGRICULTURE AND VEGETATION	2388		
Xipaya	TINAMOU	INHAMBU / NAMBU / PERDIZ / XORORÓ	tũrũrũ	ANIMALS			
Xipaya	TIRED	CANSADO	kusíri	BODY	1757		
Xipaya	TOBACCO	FUMO / TABACO	pitʃima	AGRICULTURE AND VEGETATION	974		
Xipaya	TODAY	HOJE	máʃi	TIME	1283		also means 'now'
Xipaya	TOMORROW	AMANHÃ	kaukade	TIME	1329		
Xipaya	TONGUE	LÍNGUA	kũã	BODY	1205		
Xipaya	TOOTH	DENTE	ajã	BODY	1380		
Xipaya	TOUCAN	TUCANO	jãdadari	ANIMALS	308		
Xipaya	TRAHIRA FISH	TRAÍRA	ʃitɨ	ANIMALS			
Xipaya	TREE	ÁRVORE		AGRICULTURE AND VEGETATION	906		
Xipaya	TUCUMA_PALM	TUCUMÃ	tuká pipi**	AGRICULTURE AND VEGETATION	2439		
Xipaya	TURTLE	TARTARUGA	takurare	ANIMALS	112		
